Study_Hours,Attendance_Percentage,Assignments_Completed,Final_Grade
2,51,5,C
4,64,3,B
2,93,9,B
2,87,7,B
1,51,2,D
4,64,9,B
1,85,4,C
7,64,8,A
5,50,3,B
7,71,5,A
3,63,6,B
2,55,7,C
2,72,6,C
5,52,8,B
2,74,2,C
5,90,10,A
6,86,4,A
2,52,4,C
5,55,4,B
2,74,5,C
8,90,6,A
3,73,6,B
4,92,5,B
2,88,3,C
4,60,8,B
7,67,9,A
4,93,6,A
1,64,1,D
6,75,5,A
2,63,10,B
6,63,8,A
7,91,8,A
3,66,3,C
4,97,9,A
5,97,10,A
7,87,7,A
6,64,3,B
8,55,1,A
2,59,3,C
7,88,2,A
7,74,10,A
8,83,5,A
1,93,2,C
5,99,6,A
2,68,7,C
3,79,1,C
5,82,3,B
2,90,5,B
4,59,6,B
3,84,9,B
1,88,6,C
8,51,2,A
6,69,4,A
1,65,10,C
2,55,8,C
2,98,9,B
3,58,8,B
3,66,9,B
7,63,9,A
4,95,5,A
7,92,6,A
8,83,8,A
2,65,4,C
2,71,1,C
4,87,4,B
1,54,1,D
4,54,1,C
6,54,9,A
4,67,8,B
4,84,3,B
8,65,8,A
7,62,2,A
2,92,7,B
6,77,7,A
8,96,1,A
2,53,7,C
6,56,4,B
4,62,9,B
8,58,7,A
3,67,8,B
4,54,8,B
2,53,9,C
1,55,4,D
3,76,8,B
8,63,7,A
1,60,7,C
1,74,5,C
8,68,7,A
8,59,4,A
5,63,1,B
1,97,6,C
1,53,10,C
8,82,9,A
3,53,9,B
2,61,2,C
2,93,4,B
7,57,10,A
4,87,10,A
1,89,2,C
7,92,10,A
6,66,4,A
6,65,5,A
7,58,5,A
8,70,2,A
1,79,10,B
2,54,9,C
4,82,5,B
3,72,2,C
4,73,5,B
3,78,9,B
5,89,9,A
1,92,9,B
5,92,2,B
3,66,2,C
2,97,9,B
3,67,5,B
4,95,6,A
4,93,5,B
8,66,1,A
2,90,7,B
5,52,1,C
6,99,3,A
5,60,8,A
7,85,1,A
2,54,3,C
1,73,10,B
3,77,3,C
1,69,6,C
1,72,4,C
4,92,2,B
6,99,9,A
7,89,3,A
4,60,3,B
7,51,3,A
6,100,7,A
4,67,3,B
2,74,1,C
8,64,4,A
8,72,5,A
4,64,1,C
4,75,6,B
5,54,5,B
6,91,9,A
7,93,9,A
6,51,2,B
5,61,10,A
5,52,2,B
7,72,6,A
7,88,9,A
2,74,10,B
4,66,1,C
7,50,9,A
4,73,7,B
2,92,6,B
6,92,2,A
5,82,5,A
7,70,7,A
5,85,3,B
4,76,7,B
3,89,10,A
5,75,9,A
1,69,5,C
4,77,10,A
6,79,8,A
8,93,4,A
8,100,3,A
2,68,9,B
6,55,4,B
5,64,4,B
3,51,1,C
4,80,10,A
2,79,7,B
4,95,7,A
8,75,4,A
3,91,1,C
2,99,7,B
4,61,9,B
8,53,9,A
4,57,8,B
3,79,9,B
6,98,8,A
7,85,8,A
3,97,8,A
8,66,4,A
5,99,9,A
8,90,4,A
5,78,2,B
5,65,5,B
6,70,9,A
2,58,3,C
4,74,3,B
4,54,7,B
7,71,9,A
8,76,1,A
4,76,7,B
1,98,10,B
7,80,1,A
6,69,7,A
7,84,9,A
4,81,4,B
